# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
135	1.3580822651e-01	7.4773812603e-02	6.1034413905e-02	1.2864450423e-01	5.8810693628e-19	1.7616042350e-01	1.7174248372e-02	-1.6686817087e-01
136	1.3819271728e-01	7.5202219674e-02	6.2990497610e-02	1.2861872998e-01	5.8673051582e-19	1.7925340922e-01	1.5264652580e-02	-1.6683473841e-01
137	1.4109365114e-01	7.5734972378e-02	6.5358678760e-02	1.2867145742e-01	5.8627234638e-19	1.8301628684e-01	1.2970367022e-02	-1.6690313255e-01
138	1.4305971657e-01	7.5955818306e-02	6.7103898262e-02	1.2847309253e-01	5.8504933856e-19	1.8556652203e-01	1.1064900055e-02	-1.6664582824e-01
139	1.4567781718e-01	7.6369439514e-02	6.9308377668e-02	1.2843078023e-01	5.8464550881e-19	1.8896252922e-01	8.8263273073e-03	-1.6659094385e-01
140	1.4870757124e-01	7.6888600968e-02	7.1818970275e-02	1.2846887373e-01	5.8399413494e-19	1.9289250292e-01	6.3370383656e-03	-1.6664035592e-01
141	1.5146222063e-01	7.7354456888e-02	7.4107763746e-02	1.2849563646e-01	5.8384284623e-19	1.9646563112e-01	4.0583664276e-03	-1.6667507057e-01
142	1.5464833210e-01	7.7941695479e-02	7.6706636622e-02	1.2858998594e-01	5.8317206062e-19	2.0059842012e-01	1.5438235715e-03	-1.6679745376e-01
143	1.5809852665e-01	7.8625639332e-02	7.9472887318e-02	1.2878879068e-01	5.8269219978e-19	2.0507375824e-01	-1.0590599825e-03	-1.6705532862e-01
144	1.6133390449e-01	7.9270138695e-02	8.2063765798e-02	1.2894531239e-01	5.8136684664e-19	2.0927045196e-01	-3.4920338792e-03	-1.6725835705e-01
145	1.6504507894e-01	8.0013295650e-02	8.5031783289e-02	1.2917932287e-01	5.8088221075e-19	2.1408431396e-01	-6.2731095484e-03	-1.6756189820e-01
146	1.6802810268e-01	8.0557963210e-02	8.7470139472e-02	1.2923214972e-01	5.7930385046e-19	2.1795367254e-01	-8.6402203272e-03	-1.6763042130e-01
147	1.7125426300e-01	8.1126592456e-02	9.0127670543e-02	1.2931851333e-01	5.7868471814e-19	2.2213840996e-01	-1.1251347608e-02	-1.6774244580e-01
148	1.7508861400e-01	8.1914303475e-02	9.3174310526e-02	1.2956790252e-01	5.7722286357e-19	2.2711204752e-01	-1.4075008814e-02	-1.6806593508e-01
149	1.7859357595e-01	8.2581719895e-02	9.6011856054e-02	1.2972529058e-01	5.7595635368e-19	2.3165842588e-01	-1.6787670199e-02	-1.6827008727e-01
150	1.8235875330e-01	8.3296284748e-02	9.9062468553e-02	1.2992544074e-01	5.7441694759e-19	2.3654233647e-01	-1.9707729756e-02	-1.6852970731e-01
151	1.8635869313e-01	8.4124038237e-02	1.0223465490e-01	1.3023016839e-01	5.7296497359e-19	2.4173076367e-01	-2.2638270826e-02	-1.6892497757e-01
152	1.9032644493e-01	8.4931097562e-02	1.0539534737e-01	1.3051048807e-01	5.7108818016e-19	2.4687743891e-01	-2.5580312264e-02	-1.6928858760e-01
153	1.9422806471e-01	8.5728334994e-02	1.0849972971e-01	1.3076946721e-01	5.6932896050e-19	2.5193833256e-01	-2.8464243397e-02	-1.6962451626e-01
154	1.9815957587e-01	8.6517756760e-02	1.1164181911e-01	1.3100051839e-01	5.6687814633e-19	2.5703799912e-01	-3.1405077936e-02	-1.6992421882e-01
155	2.0233131108e-01	8.7362437392e-02	1.1496887369e-01	1.3130233311e-01	5.6462522637e-19	2.6244926662e-01	-3.4508045370e-02	-1.7031571064e-01
156	2.0661147782e-01	8.8239607893e-02	1.1837186992e-01	1.3161731220e-01	5.6164186593e-19	2.6800118349e-01	-3.7665327537e-02	-1.7072427829e-01
157	2.1101127716e-01	8.9135587450e-02	1.2187568971e-01	1.3194969803e-01	5.6152624467e-19	2.7370827898e-01	-4.0925127831e-02	-1.7115542471e-01
158	2.1502481285e-01	8.9902776977e-02	1.2512203588e-01	1.3216356391e-01	5.6415160085e-19	2.7891434171e-01	-4.4024073627e-02	-1.7143283576e-01
159	2.1905466057e-01	9.0662943769e-02	1.2839171680e-01	1.3234433500e-01	5.6931891092e-19	2.8414156321e-01	-4.7160966290e-02	-1.7166731870e-01
160	2.2342250852e-01	9.1518607372e-02	1.3190390115e-01	1.3262384883e-01	5.7394219594e-19	2.8980721369e-01	-5.0481617223e-02	-1.7202988345e-01
161	2.2785971595e-01	9.2427043979e-02	1.3543267197e-01	1.3294533972e-01	5.7764046281e-19	2.9556283219e-01	-5.3757034993e-02	-1.7244689773e-01
162	2.3224671583e-01	9.3289573993e-02	1.3895714184e-01	1.3322457800e-01	5.8034765349e-19	3.0125332514e-01	-5.7084459805e-02	-1.7280910505e-01
163	2.3654480111e-01	9.4140427376e-02	1.4240437373e-01	1.3349330593e-01	5.8294529266e-19	3.0682848463e-01	-6.0329932945e-02	-1.7315767912e-01
164	2.4077467054e-01	9.4950279793e-02	1.4582439074e-01	1.3371190743e-01	5.8468345874e-19	3.1231515955e-01	-6.3592638688e-02	-1.7344123287e-01
