# y+ ()          
# Time           	patch            	min              	max              	average          
67               	Bottom	7.3244411296e+00	1.0102774532e+02	5.7371575404e+01
67               	Top	7.5335017471e+00	1.0649206321e+02	6.2675553278e+01
67               	e423_0	3.7209998969e-01	1.3227584320e+02	4.2611571401e+00
68               	Bottom	8.8479417297e+00	1.0162581080e+02	5.7713777019e+01
68               	Top	8.7341511566e+00	1.0714870211e+02	6.3105588304e+01
68               	e423_0	2.5472287795e-01	1.3199518998e+02	4.2421955510e+00
69               	Bottom	8.4081391393e+00	1.0221642429e+02	5.8037408940e+01
69               	Top	9.8734233676e+00	1.0779568228e+02	6.3523802660e+01
69               	e423_0	2.0367544524e-01	1.3170906141e+02	4.2278461042e+00
70               	Bottom	6.5387429211e+00	1.0279965837e+02	5.8329939174e+01
70               	Top	1.0977961237e+01	1.0843336167e+02	6.3928177605e+01
70               	e423_0	3.4065407495e-01	1.3141774364e+02	4.2080890061e+00
71               	Bottom	3.9360202166e+00	1.0337562172e+02	5.8582576137e+01
71               	Top	1.2036291421e+01	1.0906240334e+02	6.4317482471e+01
71               	e423_0	5.3456581584e-02	1.3112036411e+02	4.1914100581e+00
72               	Bottom	2.6394345886e+00	1.0394440650e+02	5.8856181072e+01
72               	Top	1.1109872550e+01	1.0968282318e+02	6.4693409513e+01
72               	e423_0	2.6486437686e-01	1.3081683564e+02	4.1723685819e+00
73               	Bottom	5.0957093373e+00	1.0450598863e+02	5.9217143692e+01
73               	Top	1.0044545392e+01	1.1029497013e+02	6.5056949961e+01
73               	e423_0	2.4194513528e-01	1.3050653597e+02	4.1561967709e+00
74               	Bottom	6.6247865282e+00	1.0506021016e+02	5.9548979734e+01
74               	Top	8.7614185613e+00	1.1090075827e+02	6.5407160487e+01
74               	e423_0	1.0200529005e-01	1.3018805914e+02	4.1349886236e+00
75               	Bottom	7.9796628804e+00	1.0560697356e+02	5.9865024562e+01
75               	Top	7.1171457810e+00	1.1150048978e+02	6.5738938337e+01
75               	e423_0	4.0186633389e-01	1.2986035208e+02	4.1239968045e+00
76               	Bottom	7.0064382201e+00	1.0614637842e+02	6.0160562111e+01
76               	Top	4.7175146995e+00	1.1209374336e+02	6.6039904126e+01
76               	e423_0	2.9420935370e-01	1.2952186302e+02	4.1061403825e+00
77               	Bottom	5.6993063307e+00	1.0667841239e+02	6.0433925835e+01
77               	Top	2.8388461210e+00	1.1268109926e+02	6.6339888655e+01
77               	e423_0	2.8716509998e-01	1.2917010840e+02	4.0927809391e+00
78               	Bottom	4.2491404203e+00	1.0720316164e+02	6.0690766910e+01
78               	Top	6.2497905550e+00	1.1326296370e+02	6.6757723067e+01
78               	e423_0	4.3469947390e-01	1.2880314750e+02	4.0749966999e+00
79               	Bottom	2.7012637292e+00	1.0772036196e+02	6.0939035482e+01
79               	Top	8.3127426172e+00	1.1383854386e+02	6.7129967955e+01
79               	e423_0	1.4674974561e-01	1.2841923363e+02	4.0586009556e+00
80               	Bottom	3.2738249086e-01	1.0823003779e+02	6.1166214072e+01
80               	Top	9.9920764779e+00	1.1440821154e+02	6.7484491611e+01
80               	e423_0	3.5570530695e-01	1.2801715221e+02	4.0392026923e+00
81               	Bottom	2.1379117552e+00	1.0873193236e+02	6.1499320437e+01
81               	Top	1.1495160462e+01	1.1497190278e+02	6.7825145493e+01
81               	e423_0	3.6286576108e-01	1.2759544456e+02	4.0230856374e+00
82               	Bottom	2.7958782753e+00	1.0922658682e+02	6.1805280311e+01
82               	Top	1.1881473557e+01	1.1552914639e+02	6.8152333564e+01
82               	e423_0	6.5457943718e-02	1.2715413339e+02	4.0016795583e+00
83               	Bottom	3.2323562658e+00	1.0971383899e+02	6.2107417233e+01
83               	Top	1.0490772670e+01	1.1607982989e+02	6.8463398938e+01
83               	e423_0	3.6660652488e-01	1.2669366267e+02	3.9807723519e+00
84               	Bottom	3.5779354932e+00	1.1019367374e+02	6.2408897059e+01
84               	Top	8.8350385582e+00	1.1662479727e+02	6.8756271833e+01
84               	e423_0	3.5126069551e-01	1.2621524625e+02	3.9677291677e+00
85               	Bottom	3.8721902233e+00	1.1066609233e+02	6.2710602046e+01
85               	Top	6.7069489492e+00	1.1716348138e+02	6.9025092921e+01
85               	e423_0	1.3564703399e-02	1.2572009961e+02	3.9539661870e+00
86               	Bottom	4.1588913027e+00	1.1113128875e+02	6.3013574014e+01
86               	Top	3.2217297390e+00	1.1769549075e+02	6.9245746201e+01
86               	e423_0	3.4313533684e-01	1.2520845720e+02	3.9392383898e+00
87               	Bottom	4.4950851334e+00	1.1158921736e+02	6.3319278549e+01
87               	Top	4.7879265396e+00	1.1822095787e+02	6.9580128801e+01
87               	e423_0	2.2034473518e-01	1.2468085750e+02	3.9260347864e+00
88               	Bottom	4.9282465491e+00	1.1204010388e+02	6.3627353744e+01
88               	Top	7.3986053655e+00	1.1873958502e+02	6.9930216631e+01
88               	e423_0	2.6512065485e-01	1.2413922000e+02	3.9093755275e+00
89               	Bottom	5.4472545295e+00	1.1248394281e+02	6.3936335405e+01
89               	Top	9.2915464334e+00	1.1925094041e+02	7.0252996301e+01
89               	e423_0	1.7046587190e-01	1.2358510438e+02	3.8972728397e+00
90               	Bottom	6.0036033253e+00	1.1292090062e+02	6.4245008995e+01
90               	Top	1.0870968290e+01	1.1975499344e+02	7.0557860952e+01
90               	e423_0	3.0344973375e-01	1.2301969282e+02	3.8837933495e+00
91               	Bottom	6.5812746905e+00	1.1335098534e+02	6.4553417035e+01
91               	Top	1.1364908448e+01	1.2025167575e+02	7.0845937659e+01
91               	e423_0	1.7719615991e-01	1.2244550186e+02	3.8725483420e+00
92               	Bottom	7.1834477209e+00	1.1377426515e+02	6.4861565454e+01
92               	Top	1.0098929113e+01	1.2074135997e+02	7.1121252283e+01
92               	e423_0	9.1981087887e-02	1.2186472328e+02	3.8591032506e+00
93               	Bottom	7.2412118113e+00	1.1419067180e+02	6.5169089523e+01
93               	Top	8.6849119078e+00	1.2122373004e+02	7.1383466316e+01
93               	e423_0	1.9535203465e-01	1.2128059814e+02	3.8502563396e+00
94               	Bottom	6.5621488666e+00	1.1460019970e+02	6.5475033539e+01
94               	Top	6.9844514430e+00	1.2169995030e+02	7.1629494935e+01
94               	e423_0	2.4480535390e-01	1.2069562709e+02	3.8350851894e+00
95               	Bottom	5.6666693985e+00	1.1500257415e+02	6.5776935292e+01
95               	Top	4.8059254958e+00	1.2217169646e+02	7.1856294647e+01
95               	e423_0	2.9428789156e-01	1.2011289275e+02	3.8226491848e+00
96               	Bottom	4.4104374397e+00	1.1539814881e+02	6.6069064760e+01
96               	Top	1.1721048863e+00	1.2263780815e+02	7.2039532151e+01
96               	e423_0	2.5824403146e-01	1.1953506076e+02	3.8073065231e+00
97               	Bottom	2.2285646368e+00	1.1578694774e+02	6.6336532847e+01
97               	Top	4.8094961072e+00	1.2309827191e+02	7.2401497483e+01
97               	e423_0	2.2712699012e-01	1.1896168310e+02	3.7988604575e+00
98               	Bottom	3.3733794064e+00	1.1616904228e+02	6.6685209459e+01
98               	Top	6.5868602884e+00	1.2355292378e+02	7.2716562588e+01
98               	e423_0	1.3612777890e-01	1.1839319491e+02	3.7908841975e+00
99               	Bottom	5.4353307268e+00	1.1654478031e+02	6.7052822274e+01
99               	Top	7.9643570655e+00	1.2400136336e+02	7.3021319232e+01
99               	e423_0	1.9379930992e-01	1.1783085966e+02	3.7855058571e+00
100              	Bottom	5.3018458007e+00	1.1691464311e+02	6.7400928184e+01
100              	Top	9.1010604936e+00	1.2444353593e+02	7.3317804244e+01
100              	e423_0	3.2864667253e-01	1.1728256421e+02	3.7810602915e+00
101              	Bottom	2.9169164153e+00	1.1727901728e+02	6.7721456489e+01
101              	Top	1.0135061926e+01	1.2487939287e+02	7.3609380955e+01
101              	e423_0	2.3294102324e-01	1.1674338301e+02	3.7737439343e+00
102              	Bottom	3.6047234549e+00	1.1763818734e+02	6.8115576542e+01
102              	Top	9.9615124109e+00	1.2530960703e+02	7.3895376521e+01
102              	e423_0	1.4062605546e-01	1.1621351914e+02	3.7608390307e+00
103              	Bottom	6.0443450156e+00	1.1799300041e+02	6.8549640908e+01
103              	Top	9.1087677676e+00	1.2573407477e+02	7.4175886184e+01
103              	e423_0	3.2292073759e-01	1.1569396443e+02	3.7519949931e+00
104              	Bottom	7.9231491676e+00	1.1834397474e+02	6.8964537288e+01
104              	Top	8.1502308981e+00	1.2615256284e+02	7.4449227877e+01
104              	e423_0	2.3515241248e-01	1.1518216255e+02	3.7398576828e+00
105              	Bottom	9.5858944779e+00	1.1869123198e+02	6.9367130113e+01
105              	Top	7.0538832721e+00	1.2656568401e+02	7.4714231335e+01
105              	e423_0	1.9293216887e-01	1.1467669786e+02	3.7309344132e+00
106              	Bottom	1.1104147656e+01	1.1903521012e+02	6.9758758853e+01
106              	Top	5.8324755187e+00	1.2697393763e+02	7.4973689234e+01
106              	e423_0	3.4175405269e-01	1.1416720184e+02	3.7183464355e+00
107              	Bottom	1.1453712489e+01	1.1937681728e+02	7.0140496219e+01
107              	Top	4.3967259975e+00	1.2740553355e+02	7.5228533439e+01
107              	e423_0	1.1362441514e-01	1.1365580033e+02	3.7079616061e+00
108              	Bottom	1.1422694679e+01	1.1971677385e+02	7.0515606886e+01
108              	Top	2.2323557631e+00	1.2783897534e+02	7.5468583907e+01
108              	e423_0	3.1764990465e-01	1.1314424101e+02	3.6976545594e+00
109              	Bottom	1.1387615071e+01	1.2005566855e+02	7.0886989586e+01
109              	Top	3.2437121644e+00	1.2826895465e+02	7.5791275269e+01
109              	e423_0	2.1681449730e-01	1.1263374258e+02	3.6841751968e+00
110              	Bottom	1.1350409834e+01	1.2039406830e+02	7.1255121168e+01
110              	Top	5.2969893069e+00	1.2869558818e+02	7.6140393827e+01
110              	e423_0	2.7772790123e-01	1.1212544796e+02	3.6697737060e+00
111              	Bottom	1.1312930586e+01	1.2073275947e+02	7.1618213743e+01
111              	Top	6.8737787824e+00	1.2911967568e+02	7.6473142720e+01
111              	e423_0	2.5449936972e-01	1.1161952966e+02	3.6641861080e+00
112              	Bottom	1.1270780584e+01	1.2107240751e+02	7.1973376285e+01
112              	Top	8.2044172307e+00	1.2954177857e+02	7.6794760206e+01
112              	e423_0	2.5726776484e-01	1.1111802507e+02	3.6548291681e+00
113              	Bottom	1.1225716439e+01	1.2141359514e+02	7.2318468994e+01
113              	Top	9.3895391895e+00	1.2996241114e+02	7.7108723689e+01
113              	e423_0	2.6312620579e-01	1.1061900733e+02	3.6487886486e+00
114              	Bottom	1.1169253980e+01	1.2175700088e+02	7.2655425167e+01
114              	Top	8.5164004999e+00	1.3038093100e+02	7.7416304285e+01
114              	e423_0	2.6103787728e-01	1.1012450825e+02	3.6416555286e+00
115              	Bottom	1.1105019520e+01	1.2210320071e+02	7.2988582152e+01
115              	Top	7.3660220931e+00	1.3079902651e+02	7.7716673194e+01
115              	e423_0	2.4845899371e-01	1.0963640768e+02	3.6371549451e+00
116              	Bottom	1.1029723499e+01	1.2245324010e+02	7.3318367568e+01
116              	Top	5.9431101297e+00	1.3121708904e+02	7.8008201346e+01
116              	e423_0	2.5136949913e-01	1.0915713095e+02	3.6277695160e+00
117              	Bottom	1.0944173984e+01	1.2280785090e+02	7.3644135820e+01
117              	Top	3.9766645865e+00	1.3163549424e+02	7.8284900633e+01
117              	e423_0	2.0970919036e-01	1.0868956128e+02	3.6247007014e+00
118              	Bottom	1.0875564389e+01	1.2316713441e+02	7.3966048655e+01
118              	Top	2.1287096869e+00	1.3205463019e+02	7.8563659944e+01
118              	e423_0	3.1999318072e-01	1.0823127841e+02	3.6196728164e+00
119              	Bottom	1.0804391585e+01	1.2353130289e+02	7.4283613093e+01
119              	Top	5.1334806295e+00	1.3247551314e+02	7.8962339594e+01
119              	e423_0	1.3520909190e-01	1.0778277575e+02	3.6145091770e+00
120              	Bottom	1.0718762343e+01	1.2390800109e+02	7.4596733150e+01
120              	Top	6.9994535018e+00	1.3289739315e+02	7.9329041237e+01
120              	e423_0	2.3374025410e-01	1.0734393190e+02	3.6113657768e+00
121              	Bottom	1.0633120129e+01	1.2431096865e+02	7.4907275299e+01
121              	Top	6.9553154575e+00	1.3332130277e+02	7.9682208002e+01
121              	e423_0	1.1847033544e-01	1.0691477989e+02	3.6082080651e+00
122              	Bottom	1.0522227865e+01	1.2471904728e+02	7.5214674599e+01
122              	Top	5.2133011436e+00	1.3374683174e+02	8.0021206251e+01
122              	e423_0	3.1245188048e-01	1.0649650794e+02	3.6041122178e+00
123              	Bottom	1.0404199231e+01	1.2513589347e+02	7.5519931496e+01
123              	Top	2.1374673498e+00	1.3417416675e+02	8.0321982232e+01
123              	e423_0	2.2786501632e-01	1.0609043617e+02	3.5996222515e+00
124              	Bottom	1.0290690475e+01	1.2555996007e+02	7.5824935600e+01
124              	Top	4.4233781494e+00	1.3460299050e+02	8.0749308878e+01
