# Time           	flap1            	mainPlane        
114	( 2.5944192415e-03 1.7803435299e-03 -1.5785535682e-02 )	( 1.2236446080e-02 1.6140101953e-03 -2.3867181693e-02 )	
115	( 2.5919346254e-03 1.7790593528e-03 -1.5771215376e-02 )	( 1.2262672827e-02 1.6132787946e-03 -2.3905545063e-02 )	
116	( 2.5892998371e-03 1.7775872435e-03 -1.5755830812e-02 )	( 1.2288763070e-02 1.6124619504e-03 -2.3943715903e-02 )	
117	( 2.5864520453e-03 1.7760249616e-03 -1.5739196230e-02 )	( 1.2314781393e-02 1.6117281378e-03 -2.3981731479e-02 )	
118	( 2.5834734187e-03 1.7742784156e-03 -1.5721596389e-02 )	( 1.2340672354e-02 1.6108776806e-03 -2.4019466227e-02 )	
119	( 2.5803257907e-03 1.7724463156e-03 -1.5702954422e-02 )	( 1.2366330340e-02 1.6100727341e-03 -2.4056627550e-02 )	
120	( 2.5770470708e-03 1.7704401726e-03 -1.5683374443e-02 )	( 1.2391805296e-02 1.6091507175e-03 -2.4093433664e-02 )	
121	( 2.5736080607e-03 1.7683532386e-03 -1.5662804040e-02 )	( 1.2417155281e-02 1.6082993900e-03 -2.4129875226e-02 )	
122	( 2.5701123645e-03 1.7661372204e-03 -1.5641728975e-02 )	( 1.2442339678e-02 1.6073254794e-03 -2.4165976577e-02 )	
123	( 2.5664797562e-03 1.7638577224e-03 -1.5619815305e-02 )	( 1.2467308259e-02 1.6064045421e-03 -2.4201510408e-02 )	
124	( 2.5627901872e-03 1.7614426203e-03 -1.5597383409e-02 )	( 1.2492100155e-02 1.6053703755e-03 -2.4236682088e-02 )	
125	( 2.5590045721e-03 1.7589922773e-03 -1.5574359581e-02 )	( 1.2516739533e-02 1.6044029165e-03 -2.4271440263e-02 )	
126	( 2.5551793815e-03 1.7564101809e-03 -1.5550909886e-02 )	( 1.2541086363e-02 1.6032854990e-03 -2.4305484971e-02 )	
127	( 2.5512631059e-03 1.7537844668e-03 -1.5526877037e-02 )	( 1.2565175741e-02 1.6022138569e-03 -2.4338859931e-02 )	
128	( 2.5473575893e-03 1.7510401380e-03 -1.5502669233e-02 )	( 1.2588928492e-02 1.6009836195e-03 -2.4371389130e-02 )	
129	( 2.5433967606e-03 1.7482760385e-03 -1.5478095556e-02 )	( 1.2612440825e-02 1.5997907686e-03 -2.4403219275e-02 )	
130	( 2.5394508946e-03 1.7454139871e-03 -1.5453423207e-02 )	( 1.2635717348e-02 1.5984801372e-03 -2.4434539172e-02 )	
131	( 2.5355073383e-03 1.7425573292e-03 -1.5428694889e-02 )	( 1.2658707743e-02 1.5971979885e-03 -2.4465016127e-02 )	
132	( 2.5316072876e-03 1.7396147465e-03 -1.5404024633e-02 )	( 1.2681375670e-02 1.5957686503e-03 -2.4494704337e-02 )	
133	( 2.5277303194e-03 1.7366872758e-03 -1.5379418919e-02 )	( 1.2703775153e-02 1.5943705028e-03 -2.4523607087e-02 )	
134	( 2.5239106434e-03 1.7336911685e-03 -1.5354976064e-02 )	( 1.2725873135e-02 1.5928258600e-03 -2.4551758258e-02 )	
135	( 2.5201678591e-03 1.7307297249e-03 -1.5330880015e-02 )	( 1.2747431448e-02 1.5912192355e-03 -2.4578292539e-02 )	
136	( 2.5165459863e-03 1.7277200801e-03 -1.5307273521e-02 )	( 1.2768459164e-02 1.5893933003e-03 -2.4603363252e-02 )	
